ID,Individuo,I,x,f(x)
1,11001,25,4.6,19.462990761201343
2,10011,19,4.216,16.46792200040408
3,10110,22,4.4079999999999995,17.93707269172727
4,01100,12,3.768,13.264791100092133
5,00110,6,3.384,10.775503919930026
6,11101,29,4.856,21.584585201025313
7,00011,3,3.192,9.621526698457972
8,00001,1,3.064,8.886289094881441
9,11011,27,4.728,20.511444624759978
10,00011,3,3.192,9.621526698457972
11,10011,19,4.216,16.46792200040408
12,00010,2,3.128,9.250481635802767
13,10111,23,4.4719999999999995,18.439440800575078
14,01001,9,3.576,11.990170932816401
15,00110,6,3.384,10.775503919930026
16,00011,3,3.192,9.621526698457972
17,00111,7,3.448,11.173686001519934
18,00101,5,3.32,10.384065144477594
19,11011,27,4.728,20.511444624759978
